Percentile,Male,Female
1.00,1.412146,2.582926
2.00,1.666085,3.047395
3.00,1.848394,3.380854
4.00,1.996008,3.650868
5.00,2.135339,3.905719
6.00,2.262356,4.138046
7.00,2.374706,4.343526
8.00,2.477774,4.532054
9.00,2.577154,4.713824
10.00,2.671486,4.886366
11.00,2.764725,5.056905
12.00,2.851141,5.214971
13.00,2.934619,5.367659
14.00,3.021804,5.527134
15.00,3.102645,5.675005
16.00,3.185406,5.826376
17.00,3.269467,5.980137
18.00,3.346833,6.121653
19.00,3.428207,6.270487
20.00,3.503561,6.408301
21.00,3.581494,6.550824
22.00,3.659467,6.693477
23.00,3.739205,6.839305
24.00,3.817897,6.983257
25.00,3.898688,7.131018
26.00,3.975666,7.271816
27.00,4.057242,7.421052
28.00,4.132326,7.558366
29.00,4.212971,7.705851
30.00,4.292667,7.851637
31.00,4.37097,7.99483
32.00,4.452729,8.144369
33.00,4.533935,8.292955
34.00,4.611987,8.435767
35.00,4.700771,8.598171
36.00,4.785737,8.753497
37.00,4.869914,8.907444
38.00,4.955756,9.064436
39.00,5.04001,9.21861
40.00,5.126323,9.376443
41.00,5.213227,9.535497
42.00,5.303543,9.700533
43.00,5.400433,9.877843
44.00,5.494026,10.049116
45.00,5.589869,10.224319
46.00,5.693648,10.414068
47.00,5.795635,10.600725
48.00,5.896466,10.785136
49.00,6.002506,10.979116
50.00,6.110119,11.175919
51.00,6.212788,11.363688
52.00,6.321656,11.562756
53.00,6.438773,11.777173
54.00,6.555149,11.989849
55.00,6.673921,12.207121
56.00,6.797085,12.432385
57.00,6.933122,12.681222
58.00,7.0646,12.9218
59.00,7.202662,13.174162
60.00,7.345931,13.436231
61.00,7.491299,13.702299
62.00,7.643593,13.980793
63.00,7.80383,14.27383
64.00,7.97265,14.58255
65.00,8.15137,14.90957
66.00,8.33425,15.24405
67.00,8.52304,15.58934
68.00,8.71202,15.93502
69.00,8.92872,16.33142
70.00,9.14498,16.72688
71.00,9.36904,17.13684
72.00,9.61331,17.58361
73.00,9.8634,18.0409
74.00,10.13268,18.53348
75.00,10.40948,19.03978
76.00,10.70099,19.57299
77.00,11.01855,20.15375
78.00,11.35146,20.76276
79.00,11.69001,21.38211
80.00,12.06603,22.06973
81.00,12.49883,22.86143
82.00,12.94139,23.67089
83.00,13.39335,24.49755
84.00,13.88625,25.39915
85.00,14.42724,26.38864
86.00,15.03302,27.49662
87.00,15.69418,28.70608
88.00,16.4504,30.0893
89.00,17.27389,31.59539
90.00,18.15743,33.21143
91.00,19.17296,35.06886
92.00,20.32157,37.16977
93.00,21.57915,39.47015
94.00,23.15291,42.34851
95.00,25.06237,45.84107
96.00,27.50265,50.30465
97.00,30.88067,56.48327
98.00,36.53098,66.81818
99.00,47.64757,87.15137
100.00,214.671,392.652
